square4	['PBM_index', 'Davies_Bouldin', 'Banfeld_Raferty']	0.35856382423546607	['PBM_index', 'Davies_Bouldin', 'Dunns_index']	0.35856382423546607	['PBM_index', 'Davies_Bouldin', 'McClain_Rao']	0.35856382423546607
flame	['IIndex', 'Ratkowsky_Lance', 'Banfeld_Raferty']	0.39225550568834155	['IIndex', 'Ratkowsky_Lance', 'Davies_Bouldin']	0.39225550568834155	['IIndex', 'Ratkowsky_Lance', 'Dunns_index']	0.39225550568834155
long3	['modified_hubert_t', 'Ratkowsky_Lance', 'Banfeld_Raferty']	0.3825696691368334	['modified_hubert_t', 'Ratkowsky_Lance', 'Davies_Bouldin']	0.3825696691368334	['modified_hubert_t', 'Ratkowsky_Lance', 'Dunns_index']	0.3825696691368334
shapes	['PBM_index', 'Banfeld_Raferty', 'Davies_Bouldin']	0.4656090178478239	['PBM_index', 'Banfeld_Raferty', 'Dunns_index']	0.4656090178478239	['PBM_index', 'Banfeld_Raferty', 'McClain_Rao']	0.4656090178478239
impossible	['i_index', 'Ratkowsky_Lance', 'Banfeld_Raferty']	0.4720801586473229	['i_index', 'Ratkowsky_Lance', 'Davies_Bouldin']	0.4720801586473229	['i_index', 'Ratkowsky_Lance', 'Dunns_index']	0.4720801586473229
zelnik2	['s_dbw', 'modified_hubert_t', 'Banfeld_Raferty']	0.7559336186201859	['s_dbw', 'modified_hubert_t', 'Davies_Bouldin']	0.7559336186201859	['s_dbw', 'modified_hubert_t', 'Dunns_index']	0.7559336186201859
spherical_5_2	['Ratkowsky_Lance', 'Banfeld_Raferty', 'Davies_Bouldin']	0.4752531051038514	['Ratkowsky_Lance', 'Banfeld_Raferty', 'Dunns_index']	0.4752531051038514	['Ratkowsky_Lance', 'Banfeld_Raferty', 'McClain_Rao']	0.4752531051038514
pmf	['Ratkowsky_Lance', 'Dunns_index', 'Banfeld_Raferty']	0.526395992067634	['Ratkowsky_Lance', 'Dunns_index', 'Davies_Bouldin']	0.526395992067634	['Ratkowsky_Lance', 'Dunns_index', 'McClain_Rao']	0.526395992067634
triangle1	['silhouette', 'i_index', 'Banfeld_Raferty']	0.3954702014403507	['silhouette', 'i_index', 'Davies_Bouldin']	0.3954702014403507	['silhouette', 'i_index', 'Dunns_index']	0.3954702014403507
twenty	['s_dbw', 'modified_hubert_t', 'Banfeld_Raferty']	0.9397140173259577	['s_dbw', 'modified_hubert_t', 'Davies_Bouldin']	0.9397140173259577	['s_dbw', 'modified_hubert_t', 'Dunns_index']	0.9397140173259577
spherical_6_2	['IIndex', 'Ratkowsky_Lance', 'Banfeld_Raferty']	0.4178060745224925	['IIndex', 'Ratkowsky_Lance', 'Davies_Bouldin']	0.4178060745224925	['IIndex', 'Ratkowsky_Lance', 'Dunns_index']	0.4178060745224925
fourty	['s_dbw', 'modified_hubert_t', 'Banfeld_Raferty']	0.937960546915771	['s_dbw', 'modified_hubert_t', 'Davies_Bouldin']	0.937960546915771	['s_dbw', 'modified_hubert_t', 'Dunns_index']	0.937960546915771
