dataset	n_clusters	eigen_solver	affinity	assign_labels	nmi
jain	6		rbf	kmeans	0.5756115391519306
2d-4c	6		rbf	kmeans	0.826157250218211
long1	6		rbf	kmeans	0.553776326116234
sizes4	6		rbf	kmeans	0.8812090724964475
curves2	6		rbf	kmeans	0.49295306827156743
square4	6		rbf	kmeans	0.6201463766372204
chainlink	6		rbf	kmeans	0.3739850116918863
ds4c2sc8	6		rbf	kmeans	0.6656314587048522
spiralsquare	6		rbf	kmeans	0.7173512462413398
gaussians1	6		rbf	kmeans	0.5998461492602553
smile3	6		rbf	kmeans	0.5169495461092057
dpb	6		rbf	kmeans	0.819499236248504
complex8	6		rbf	kmeans	0.001283554058217548
haberman	6		rbf	kmeans	0.01722150470744471
pmf	6		rbf	kmeans	0.014162889079018397
atom	6		rbf	kmeans	0.01612839564953538
zelnik5	6		rbf	kmeans	0.7626774660229201
long2	6		rbf	kmeans	0.5482531664465421
2d-4c-no9	6		rbf	kmeans	0.8542487006095472
cassini	6		rbf	kmeans	0.6918684229023638
hepta	6		rbf	kmeans	0.945086666842351
triangle1	6		rbf	kmeans	0.2455971558303007
tae	6		rbf	kmeans	0.047297043507178255
balance-scale	6		rbf	kmeans	0.17284700792628693
twenty	6		rbf	kmeans	0.7065695501768664
threenorm	6		rbf	kmeans	0.2745633819419319
square2	6		rbf	kmeans	0.7910754935343332
flame	6		rbf	kmeans	0.5642747253039391
disk-3000n	6		rbf	kmeans	0.4148019662733822
d31	6		rbf	kmeans	0.6239793201315134
aggregation	6		rbf	kmeans	0.9504485207389782
zelnik4	6		rbf	kmeans	0.8798796009424736
2sp2glob	6		rbf	kmeans	0.6830455523968418
glass	6		rbf	kmeans	0.17085647136270923
square1	6		rbf	kmeans	0.6986370898486989
2d-3c-no123	6		rbf	kmeans	0.6521707846155697
disk-4500n	6		rbf	kmeans	0.4727761153334203
sizes1	6		rbf	kmeans	0.8523627726265022
long3	6		rbf	kmeans	0.4903553610534654
cuboids	6		rbf	kmeans	0.7409686727062433
donutcurves	6		rbf	kmeans	0.5389115097580144
st900	6		rbf	kmeans	0.7258722426893945
tetra	6		rbf	kmeans	0.7407437914567614
zelnik3	7		rbf	kmeans	0.6462432775326035
spherical_4_3	7		rbf	kmeans	0.868642598446344
fourty	7		rbf	kmeans	0.6444692536869173
lsun	7		rbf	kmeans	0.7185526239855603
diamond9	7		rbf	kmeans	0.8853461893003005
ds850	7		rbf	kmeans	0.8753501445038581
elly-2d10c13s	7		rbf	kmeans	0.5018455697035077
pathbased	7		rbf	kmeans	0.6982709589046685
R15	7		rbf	kmeans	0.6782796145175144
spherical_6_2	7		rbf	kmeans	0.8883272669082471
shapes	7		rbf	kmeans	0.8696219251344075
2dnormals	7		rbf	kmeans	0.3466352719038853
dpc	7		rbf	kmeans	0.8107369089387987
twodiamonds	7		rbf	kmeans	0.4379343906869794
ds2c2sc13	7		rbf	kmeans	0.688793152822795
donut3	7		rbf	kmeans	0.7372525294501958
simplex	7		rbf	kmeans	0.8164232159754835
2d-20c-no0	7		rbf	kmeans	0.7383580686374971
disk-5000n	7		rbf	kmeans	0.3690608346552528
DS-577	7		rbf	kmeans	0.7205886844051081
zoo	7		rbf	kmeans	0.7983069528257452
square3	7		rbf	kmeans	0.6625685837093414
sonar	7		rbf	kmeans	0.05747486856017799
donut1	7		rbf	kmeans	0.6306478001275544
disk-4600n	7		rbf	kmeans	0.01868618815428869
sizes5	7		rbf	kmeans	0.7570145523110472
thy	7		rbf	kmeans	0.042225870821122787
cure-t1-2000n-2D	7		rbf	kmeans	0.8190957698409743
blobs	7		rbf	kmeans	0.5975913304074607
dense-disk-5000	7		rbf	kmeans	0.3852491357610477
heart-statlog	7		rbf	kmeans	0.01642122672234839
dense-disk-3000	7		rbf	kmeans	0.24438432525304074
ds3c3sc6	7		rbf	kmeans	0.5385528726462138
donut2	7		rbf	kmeans	0.019924880552844217
dartboard1	7		rbf	kmeans	0.46593600575456207
smile1	7		rbf	kmeans	0.7753514096677426
2d-10c	7		rbf	kmeans	0.7247305372627637
impossible	7		rbf	kmeans	0.7291947523952443
aml28	7		rbf	kmeans	0.1968858200407725
zelnik2	7		rbf	kmeans	0.5838891816706826
banana	7		rbf	kmeans	0.41878851439496523
compound	7		rbf	kmeans	0.7939610384898268
zelnik6	7		rbf	kmeans	0.6492148192326629
sizes3	7		rbf	kmeans	0.8936554424772966
spiral	7		rbf	kmeans	0.09277670621932348
sizes2	7		rbf	kmeans	0.8650545120230132
iris	7		rbf	kmeans	0.64317629599646
hypercube	7		rbf	kmeans	0.956521739130435
engytime	7		rbf	kmeans	0.25040604729749594
circle	7		rbf	kmeans	0.28969455275274
longsquare	7		rbf	kmeans	0.9876158648995562
zelnik1	7		rbf	kmeans	0.572151982618093
iono	7		rbf	kmeans	0.25469408775997404
square5	7		rbf	kmeans	0.5173399156545415
curves1	7		rbf	kmeans	0.5629484259565919
3-spiral	7		rbf	kmeans	0.7354458038242929
DS-850	7		rbf	kmeans	0.8753501445038581
rings	7		rbf	kmeans	0.6573106246007195
cure-t2-4k	7		rbf	kmeans	0.7172532932168938
2d-4c-no4	7		rbf	kmeans	0.6362917087750146
disk-1000n	7		rbf	kmeans	0.33371574736024295
complex9	7		rbf	kmeans	0.004408818488834501
ecoli	7		rbf	kmeans	0.6663723235876228
target	7		rbf	kmeans	0.4884765934356954
3MC	7		rbf	kmeans	0.7303844148682713
xor	7		rbf	kmeans	0.5191135242435861
xclara	7		rbf	kmeans	0.004215871374986479
cure-t0-2000n-2D	7		rbf	kmeans	0.510829272412019
spherical_5_2	7		rbf	kmeans	0.8032587061602388
ds577	7		rbf	kmeans	0.7197413860261769
elliptical_10_2	7		rbf	kmeans	0.8869592179451457
wingnut	7		rbf	kmeans	0.2566997575610712
triangle2	7		rbf	kmeans	0.6855370650140363
smile2	7		rbf	kmeans	0.6752720110502192
disk-4000n	7		rbf	kmeans	0.409960298567371
jain	7		rbf	kmeans	0.5117523029500243
2d-4c	7		rbf	kmeans	0.8334141120053963
long1	7		rbf	kmeans	0.5843116566646805
sizes4	7		rbf	kmeans	0.8310936628014153
curves2	7		rbf	kmeans	0.6604547004870994
square4	7		rbf	kmeans	0.6141187514114657
chainlink	7		rbf	kmeans	0.39236509916292933
ds4c2sc8	7		rbf	kmeans	0.6646362191161402
spiralsquare	7		rbf	kmeans	0.6511388325302971
gaussians1	7		rbf	kmeans	0.629898181008571
smile3	7		rbf	kmeans	0.503430329915295
dpb	7		rbf	kmeans	0.7764069128098546
complex8	7		rbf	kmeans	0.001283554058217548
haberman	7		rbf	kmeans	0.014530996406328649
pmf	7		rbf	kmeans	0.014162889079018397
atom	7		rbf	kmeans	0.018218352597820068
zelnik5	7		rbf	kmeans	0.7601477683897797
long2	7		rbf	kmeans	0.6540617559965419
2d-4c-no9	7		rbf	kmeans	0.8271605210373084
cassini	7		rbf	kmeans	0.6136665951061335
hepta	7		rbf	kmeans	1.0
triangle1	7		rbf	kmeans	0.5014598522552451
tae	7		rbf	kmeans	0.043504167205790714
balance-scale	7		rbf	kmeans	0.17325201380313315
twenty	7		rbf	kmeans	0.751903227475918
threenorm	7		rbf	kmeans	0.2848364876350556
square2	7		rbf	kmeans	0.7901831140058786
flame	7		rbf	kmeans	0.4001958667558812
disk-3000n	7		rbf	kmeans	0.38069768568472906
d31	7		rbf	kmeans	0.6611194096195645
aggregation	7		rbf	kmeans	0.9851370251428081
zelnik4	7		rbf	kmeans	0.8769969209979223
2sp2glob	7		rbf	kmeans	0.6565976516802647
glass	7		rbf	kmeans	0.19358272469317372
square1	7		rbf	kmeans	0.8205627200318405
2d-3c-no123	7		rbf	kmeans	0.6148014043353732
disk-4500n	7		rbf	kmeans	0.4196197395083271
sizes1	7		rbf	kmeans	0.845103259303505
long3	7		rbf	kmeans	0.43958230008606497
cuboids	7		rbf	kmeans	0.7619898139951597
donutcurves	7		rbf	kmeans	0.5386399714506359
st900	7		rbf	kmeans	0.7696979787368712
tetra	7		rbf	kmeans	0.6619893061570233
zelnik3	8		rbf	kmeans	0.672489398737219
spherical_4_3	8		rbf	kmeans	0.8401411245403924
fourty	8		rbf	kmeans	0.6801636292303005
lsun	8		rbf	kmeans	0.6751797084568593
diamond9	8		rbf	kmeans	0.9432563300027194
ds850	8		rbf	kmeans	0.8765754771330013
elly-2d10c13s	8		rbf	kmeans	0.4402938011498997
pathbased	8		rbf	kmeans	0.7535702104110489
R15	8		rbf	kmeans	0.7425078304557066
spherical_6_2	8		rbf	kmeans	0.9398577466815461
shapes	8		rbf	kmeans	0.8303022575813926
2dnormals	8		rbf	kmeans	0.33741401231440216
dpc	8		rbf	kmeans	0.8008710073545228
twodiamonds	8		rbf	kmeans	0.507927655302247
ds2c2sc13	8		rbf	kmeans	0.6878291949930858
donut3	8		rbf	kmeans	0.735334547050537
simplex	8		rbf	kmeans	0.743595405495973
2d-20c-no0	8		rbf	kmeans	0.7738339012636014
disk-5000n	8		rbf	kmeans	0.3492698816336009
DS-577	8		rbf	kmeans	0.6823153088362197
zoo	8		rbf	kmeans	0.8201553619253961
square3	8		rbf	kmeans	0.6727920337331962
sonar	8		rbf	kmeans	0.09473818795775708
donut1	8		rbf	kmeans	0.6285856147528234
disk-4600n	8		rbf	kmeans	0.14642691691055396
sizes5	8		rbf	kmeans	0.8078216722313168
thy	8		rbf	kmeans	0.042225870821122787
cure-t1-2000n-2D	8		rbf	kmeans	0.7570168885486137
blobs	8		rbf	kmeans	0.5928023923614316
dense-disk-5000	8		rbf	kmeans	0.3747946166050315
heart-statlog	8		rbf	kmeans	0.021563275543834123
dense-disk-3000	8		rbf	kmeans	0.24884431917159283
ds3c3sc6	8		rbf	kmeans	0.5491816576078279
donut2	8		rbf	kmeans	0.020647480117868273
dartboard1	8		rbf	kmeans	0.45418011212472825
smile1	8		rbf	kmeans	0.785269591817435
2d-10c	8		rbf	kmeans	0.5208590604908612
impossible	8		rbf	kmeans	0.7193129526264925
aml28	8		rbf	kmeans	0.594471671983071
zelnik2	8		rbf	kmeans	0.6205127891469138
banana	8		rbf	kmeans	0.40047570600894794
compound	8		rbf	kmeans	0.6304078220216713
zelnik6	8		rbf	kmeans	0.642791961826114
sizes3	8		rbf	kmeans	0.8709025740195081
spiral	8		rbf	kmeans	0.13875216213498748
sizes2	8		rbf	kmeans	0.8468853900760623
iris	8		rbf	kmeans	0.669040067644084
hypercube	8		rbf	kmeans	1.0
engytime	8		rbf	kmeans	0.24644091136928414
circle	8		rbf	kmeans	0.2110740122450679
longsquare	8		rbf	kmeans	0.9570446148820388
zelnik1	8		rbf	kmeans	0.5701685228841175
iono	8		rbf	kmeans	0.25224272062414815
square5	8		rbf	kmeans	0.49207476202318395
curves1	8		rbf	kmeans	0.5613755496449079
3-spiral	8		rbf	kmeans	0.7029050636091401
DS-850	8		rbf	kmeans	0.8765754771330013
rings	8		rbf	kmeans	0.4612203787801164
cure-t2-4k	8		rbf	kmeans	0.7632573181785627
2d-4c-no4	8		rbf	kmeans	0.6297581734399412
disk-1000n	8		rbf	kmeans	0.3167871164341256
complex9	8		rbf	kmeans	0.005339297736625843
ecoli	8		rbf	kmeans	0.5582926086958805
target	8		rbf	kmeans	0.7519778318174404
3MC	8		rbf	kmeans	0.7060870185215082
xor	8		rbf	kmeans	0.4368299937231097
xclara	8		rbf	kmeans	0.004931161523289781
cure-t0-2000n-2D	8		rbf	kmeans	0.4805297284433388
spherical_5_2	8		rbf	kmeans	0.7362804772636465
ds577	8		rbf	kmeans	0.6814460666667566
elliptical_10_2	8		rbf	kmeans	0.9373209709546731
wingnut	8		rbf	kmeans	0.4175096618898753
triangle2	8		rbf	kmeans	0.8270155702924592
smile2	8		rbf	kmeans	0.7329977597398364
disk-4000n	8		rbf	kmeans	0.39223919266490154
jain	8		rbf	kmeans	0.5003492450565762
2d-4c	8		rbf	kmeans	0.6702238658933586
long1	8		rbf	kmeans	0.6072750936161001
sizes4	8		rbf	kmeans	0.8405274419420826
curves2	8		rbf	kmeans	0.6584096911203302
square4	8		rbf	kmeans	0.5385868471725451
chainlink	8		rbf	kmeans	0.4340800640041765
ds4c2sc8	8		rbf	kmeans	0.6634162695365182
spiralsquare	8		rbf	kmeans	0.6252107115590612
gaussians1	8		rbf	kmeans	0.6178900878893833
smile3	8		rbf	kmeans	0.5955346446134011
dpb	8		rbf	kmeans	0.7852436534854892
complex8	8		rbf	kmeans	0.001283554058217548
haberman	8		rbf	kmeans	0.01722150470744471
pmf	8		rbf	kmeans	0.014162889079018397
atom	8		rbf	kmeans	0.01817725707893667
zelnik5	8		rbf	kmeans	0.758393517774248
long2	8		rbf	kmeans	0.6360944183238397
2d-4c-no9	8		rbf	kmeans	0.6922260410758466
cassini	8		rbf	kmeans	0.5253333534074521
hepta	8		rbf	kmeans	0.9754130133958171
triangle1	8		rbf	kmeans	0.2966626833868598
tae	8		rbf	kmeans	0.06695789964846746
balance-scale	8		rbf	kmeans	0.17807292328497443
twenty	8		rbf	kmeans	0.7941666965794866
threenorm	8		rbf	kmeans	0.2806407140101946
square2	8		rbf	kmeans	0.7159071336798691
flame	8		rbf	kmeans	0.45952737643780384
disk-3000n	8		rbf	kmeans	0.3750655782124535
d31	8		rbf	kmeans	0.690658082183958
aggregation	8		rbf	kmeans	0.9436154243379824
zelnik4	8		rbf	kmeans	0.8741438844254753
2sp2glob	8		rbf	kmeans	0.6420189567107223
glass	8		rbf	kmeans	0.20138182014291367
square1	8		rbf	kmeans	0.7818799093432023
2d-3c-no123	8		rbf	kmeans	0.6186520591868645
disk-4500n	8		rbf	kmeans	0.4216400982560915
sizes1	8		rbf	kmeans	0.743617343442597
long3	8		rbf	kmeans	0.4699483309634817
cuboids	8		rbf	kmeans	0.7697028152032986
donutcurves	8		rbf	kmeans	0.536853241070575
st900	8		rbf	kmeans	0.8141104598146502
tetra	8		rbf	kmeans	0.6230520959940651
zelnik3	9		rbf	kmeans	0.7008759284778205
spherical_4_3	9		rbf	kmeans	0.7981108450405852
fourty	9		rbf	kmeans	0.7061945676974505
lsun	9		rbf	kmeans	0.6552193010417491
diamond9	9		rbf	kmeans	0.9979338642306477
ds850	9		rbf	kmeans	0.8594806732924948
elly-2d10c13s	9		rbf	kmeans	0.44676661518284877
pathbased	9		rbf	kmeans	0.7378282795948966
R15	9		rbf	kmeans	0.830715258842082
spherical_6_2	9		rbf	kmeans	0.9135096117615602
shapes	9		rbf	kmeans	0.8055176154936414
2dnormals	9		rbf	kmeans	0.3081033298672632
dpc	9		rbf	kmeans	0.7994896015755915
twodiamonds	9		rbf	kmeans	0.49410151001115504
ds2c2sc13	9		rbf	kmeans	0.6871381948676346
donut3	9		rbf	kmeans	0.7444057445253437
simplex	9		rbf	kmeans	0.756972195460768
2d-20c-no0	9		rbf	kmeans	0.8266932614740006
disk-5000n	9		rbf	kmeans	0.3280436268096023
DS-577	9		rbf	kmeans	0.6966292523361588
zoo	9		rbf	kmeans	0.8472841187521628
square3	9		rbf	kmeans	0.6459803756472982
sonar	9		rbf	kmeans	0.08131564201992324
donut1	9		rbf	kmeans	0.6265374405017436
disk-4600n	9		rbf	kmeans	0.13974338630901637
sizes5	9		rbf	kmeans	0.8517229519808636
thy	9		rbf	kmeans	0.042225870821122787
cure-t1-2000n-2D	9		rbf	kmeans	0.7057417647676594
blobs	9		rbf	kmeans	0.6191018643530178
dense-disk-5000	9		rbf	kmeans	0.31186848480048185
heart-statlog	9		rbf	kmeans	0.021563275543834123
dense-disk-3000	9		rbf	kmeans	0.2709298164796506
ds3c3sc6	9		rbf	kmeans	0.5030692166762172
donut2	9		rbf	kmeans	0.021010515467644073
dartboard1	9		rbf	kmeans	0.4078955675982433
smile1	9		rbf	kmeans	0.8364060589073772
2d-10c	9		rbf	kmeans	0.500454123492725
impossible	9		rbf	kmeans	0.6904447975255871
aml28	9		rbf	kmeans	0.5261203773331311
zelnik2	9		rbf	kmeans	0.621790902221422
banana	9		rbf	kmeans	0.4836261362997246
compound	9		rbf	kmeans	0.6237884873678208
zelnik6	9		rbf	kmeans	0.6363106769318039
sizes3	9		rbf	kmeans	0.8676662743619278
spiral	9		rbf	kmeans	0.12054723598090321
sizes2	9		rbf	kmeans	0.8388062650447109
iris	9		rbf	kmeans	0.6428946341635174
hypercube	9		rbf	kmeans	0.980739037424445
engytime	9		rbf	kmeans	0.23351982230690593
circle	9		rbf	kmeans	0.23238425503439203
longsquare	9		rbf	kmeans	0.9556837788528213
zelnik1	9		rbf	kmeans	0.5685560215390448
iono	9		rbf	kmeans	0.25001166937834995
square5	9		rbf	kmeans	0.49249840273438134
curves1	9		rbf	kmeans	0.5599233018951347
3-spiral	9		rbf	kmeans	0.6761297999513428
DS-850	9		rbf	kmeans	0.8593322391418504
rings	9		rbf	kmeans	0.42155176075254375
cure-t2-4k	9		rbf	kmeans	0.7031989051483054
2d-4c-no4	9		rbf	kmeans	0.5937639030279691
disk-1000n	9		rbf	kmeans	0.253831997826356
complex9	9		rbf	kmeans	0.006847562272704295
ecoli	9		rbf	kmeans	0.5605675897498595
target	9		rbf	kmeans	0.6927555488787528
3MC	9		rbf	kmeans	0.6713487315731392
xor	9		rbf	kmeans	0.4142655838918602
xclara	9		rbf	kmeans	0.004931161523289781
cure-t0-2000n-2D	9		rbf	kmeans	0.46088490526420745
dartboard2	9		rbf	kmeans	0.06898387426408391
spherical_5_2	9		rbf	kmeans	0.7448765289559837
ds577	9		rbf	kmeans	0.6966292523361589
elliptical_10_2	9		rbf	kmeans	0.9554950414454798
wingnut	9		rbf	kmeans	0.40034612139834225
triangle2	9		rbf	kmeans	0.7749757815489133
smile2	9		rbf	kmeans	0.7909022593943746
disk-4000n	9		rbf	kmeans	0.37333510712508705
jain	9		rbf	kmeans	0.49453111942229605
2d-4c	9		rbf	kmeans	0.6411370150824397
long1	9		rbf	kmeans	0.5734879431513504
sizes4	9		rbf	kmeans	0.8344865102010589
curves2	9		rbf	kmeans	0.6563785549700193
square4	9		rbf	kmeans	0.5445158367722871
chainlink	9		rbf	kmeans	0.3766126790716868
ds4c2sc8	9		rbf	kmeans	0.662449899901867
spiralsquare	9		rbf	kmeans	0.5969368768593192
gaussians1	9		rbf	kmeans	0.5730863462131197
smile3	9		rbf	kmeans	0.6436537741856319
dpb	9		rbf	kmeans	0.7325134501925418
complex8	9		rbf	kmeans	0.001283554058217548
haberman	9		rbf	kmeans	0.01722150470744471
pmf	9		rbf	kmeans	0.014162889079018397
atom	9		rbf	kmeans	0.02021568884445559
zelnik5	9		rbf	kmeans	0.756769167025006
long2	9		rbf	kmeans	0.6454379048277809
2d-4c-no9	9		rbf	kmeans	0.6646035454572234
cassini	9		rbf	kmeans	0.49687831880187733
hepta	9		rbf	kmeans	0.9531936993075446
triangle1	9		rbf	kmeans	0.4817271237499464
tae	9		rbf	kmeans	0.06695789964846746
balance-scale	9		rbf	kmeans	0.16116192828928066
twenty	9		rbf	kmeans	0.8208565474205003
threenorm	9		rbf	kmeans	0.24367343231625918
square2	9		rbf	kmeans	0.7284955358259531
flame	9		rbf	kmeans	0.43907273840865224
disk-3000n	9		rbf	kmeans	0.29972839282598746
d31	9		rbf	kmeans	0.736623760632513
aggregation	9		rbf	kmeans	0.887184608298331
zelnik4	9		rbf	kmeans	0.8736168751567917
2sp2glob	9		rbf	kmeans	0.6589238232277417
glass	9		rbf	kmeans	0.20517902580040742
square1	9		rbf	kmeans	0.7546281901665097
2d-3c-no123	9		rbf	kmeans	0.588482333941049
disk-4500n	9		rbf	kmeans	0.3203151717783582
sizes1	9		rbf	kmeans	0.8182747543239856
long3	9		rbf	kmeans	0.4960816598987565
cuboids	9		rbf	kmeans	0.7545216096475349
donutcurves	9		rbf	kmeans	0.5380167706007359
st900	9		rbf	kmeans	0.8462782194058354
tetra	9		rbf	kmeans	0.6257603566971831
zelnik3	10		rbf	kmeans	0.6335710424568837
spherical_4_3	10		rbf	kmeans	0.7750671237452397
fourty	10		rbf	kmeans	0.752006042642251
lsun	10		rbf	kmeans	0.6307471515400149
diamond9	10		rbf	kmeans	0.9576714886282873
ds850	10		rbf	kmeans	0.8287994417666019
elly-2d10c13s	10		rbf	kmeans	0.4945885831084458
pathbased	10		rbf	kmeans	0.7191600953981525
R15	10		rbf	kmeans	0.8744643654715878
spherical_6_2	10		rbf	kmeans	0.8876412275071263
shapes	10		rbf	kmeans	0.7823929204435636
2dnormals	10		rbf	kmeans	0.2797171427621064
dpc	10		rbf	kmeans	0.8049420334897129
twodiamonds	10		rbf	kmeans	0.44282608467740175
ds2c2sc13	10		rbf	kmeans	0.6879996706111479
donut3	10		rbf	kmeans	0.7438492058148447
simplex	10		rbf	kmeans	0.7366167784013143
2d-20c-no0	10		rbf	kmeans	0.8565960024571544
disk-5000n	10		rbf	kmeans	0.3023656895861067
DS-577	10		rbf	kmeans	0.6564903245506623
zoo	10		rbf	kmeans	0.8558254176458624
square3	10		rbf	kmeans	0.6389773777407279
sonar	10		rbf	kmeans	0.14291545041627657
donut1	10		rbf	kmeans	0.6245031364364924
disk-4600n	10		rbf	kmeans	0.13356120214215747
sizes5	10		rbf	kmeans	0.8465606012319182
thy	10		rbf	kmeans	0.04253729935582452
cure-t1-2000n-2D	10		rbf	kmeans	0.7473706293396761
blobs	10		rbf	kmeans	0.5727690720777576
dense-disk-5000	10		rbf	kmeans	0.31812419197470493
heart-statlog	10		rbf	kmeans	0.021563275543834123
dense-disk-3000	10		rbf	kmeans	0.28991727026662656
ds3c3sc6	10		rbf	kmeans	0.5012796836577847
donut2	10		rbf	kmeans	0.02119064326691379
dartboard1	10		rbf	kmeans	0.38492284377027636
smile1	10		rbf	kmeans	0.850830614338945
2d-10c	10		rbf	kmeans	0.36199196962736674
impossible	10		rbf	kmeans	0.7050942591187818
aml28	10		rbf	kmeans	0.4656878795956577
zelnik2	10		rbf	kmeans	0.6221242707491612
banana	10		rbf	kmeans	0.48344524374929493
compound	10		rbf	kmeans	0.6205381911487055
zelnik6	10		rbf	kmeans	0.6232800408358541
sizes3	10		rbf	kmeans	0.7228073256779327
spiral	10		rbf	kmeans	0.15244572473608156
sizes2	10		rbf	kmeans	0.7417110841347632
iris	10		rbf	kmeans	0.6201492290769867
hypercube	10		rbf	kmeans	0.9603612211270924
engytime	10		rbf	kmeans	0.20281070244828642
circle	10		rbf	kmeans	0.246191035953037
longsquare	10		rbf	kmeans	0.8727138835682695
zelnik1	10		rbf	kmeans	0.5836943496971642
iono	10		rbf	kmeans	0.2177348333089057
square5	10		rbf	kmeans	0.49532105074723937
curves1	10		rbf	kmeans	0.5584785485283204
3-spiral	10		rbf	kmeans	0.6559393948808306
DS-850	10		rbf	kmeans	0.8287994417666019
rings	10		rbf	kmeans	0.580956629457869
cure-t2-4k	10		rbf	kmeans	0.6830012823423323
2d-4c-no4	10		rbf	kmeans	0.5881676820859878
disk-1000n	10		rbf	kmeans	0.2587182746219593
complex9	10		rbf	kmeans	0.007763003636850826
ecoli	10		rbf	kmeans	0.5110783133484905
target	10		rbf	kmeans	0.6743714627232476
3MC	10		rbf	kmeans	0.6445194932020618
xor	10		rbf	kmeans	0.37707344769181467
xclara	10		rbf	kmeans	0.005643078244565998
cure-t0-2000n-2D	10		rbf	kmeans	0.4506268200707935
dartboard2	10		rbf	kmeans	0.09378457965382016
spherical_5_2	10		rbf	kmeans	0.732220176484027
ds577	10		rbf	kmeans	0.6577900371734202
elliptical_10_2	10		rbf	kmeans	0.9856572047097008
wingnut	10		rbf	kmeans	0.5095791130210892
triangle2	10		rbf	kmeans	0.7723179595417616
smile2	10		rbf	kmeans	0.7596356084854673
disk-4000n	10		rbf	kmeans	0.35122721545211166
jain	10		rbf	kmeans	0.4472647104065987
2d-4c	10		rbf	kmeans	0.6506864487111399
long1	10		rbf	kmeans	0.274971858417913
sizes4	10		rbf	kmeans	0.6691053545433501
curves2	10		rbf	kmeans	0.6543698558827725
square4	10		rbf	kmeans	0.5664664974407397
chainlink	10		rbf	kmeans	0.46667965551710877
ds4c2sc8	10		rbf	kmeans	0.6615064981513163
spiralsquare	10		rbf	kmeans	0.5822653669445825
gaussians1	10		rbf	kmeans	0.5832657210516482
smile3	10		rbf	kmeans	0.6443117235855694
dpb	10		rbf	kmeans	0.7176227379647239
complex8	10		rbf	kmeans	0.001283554058217548
haberman	10		rbf	kmeans	0.01722150470744471
pmf	10		rbf	kmeans	0.014162889079018397
atom	10		rbf	kmeans	0.022208605278730406
zelnik5	10		rbf	kmeans	0.7541255884423905
long2	10		rbf	kmeans	0.3194039433743236
2d-4c-no9	10		rbf	kmeans	0.648369563987336
cassini	10		rbf	kmeans	0.5001439991428707
hepta	10		rbf	kmeans	0.9311097586372484
triangle1	10		rbf	kmeans	0.4819915304889904
tae	10		rbf	kmeans	0.06695789964846746
balance-scale	10		rbf	kmeans	0.21296187828188623
twenty	10		rbf	kmeans	0.836725249713055
threenorm	10		rbf	kmeans	0.29425634283974017
square2	10		rbf	kmeans	0.7028987598185387
flame	10		rbf	kmeans	0.419764842135102
disk-3000n	10		rbf	kmeans	0.2608403546342637
d31	10		rbf	kmeans	0.7741912572025431
aggregation	10		rbf	kmeans	0.8679123068948154
zelnik4	10		rbf	kmeans	0.927787154854979
2sp2glob	10		rbf	kmeans	0.6693528041536887
glass	10		rbf	kmeans	0.2929654327358378
square1	10		rbf	kmeans	0.7303976769060534
2d-3c-no123	10		rbf	kmeans	0.5874006825225873
disk-4500n	10		rbf	kmeans	0.3108014755801922
sizes1	10		rbf	kmeans	0.7495228726686383
long3	10		rbf	kmeans	0.505485754915459
cuboids	10		rbf	kmeans	0.7470437037529811
donutcurves	10		rbf	kmeans	0.537922181854221
st900	10		rbf	kmeans	0.8120772621370166
tetra	10		rbf	kmeans	0.5986565338860037
zelnik3	11		rbf	kmeans	0.6905384222004712
spherical_4_3	11		rbf	kmeans	0.7573168427336122
fourty	11		rbf	kmeans	0.7718414800962141
lsun	11		rbf	kmeans	0.6210682703623027
diamond9	11		rbf	kmeans	0.9489997031852414
ds850	11		rbf	kmeans	0.8033617873683346
elly-2d10c13s	11		rbf	kmeans	0.4922861458219549
pathbased	11		rbf	kmeans	0.6765751121862607
R15	11		rbf	kmeans	0.8976298852776107
spherical_6_2	11		rbf	kmeans	0.8631975589832566
shapes	11		rbf	kmeans	0.7609695815766235
2dnormals	11		rbf	kmeans	0.3558694067078114
dpc	11		rbf	kmeans	0.8031973594439353
twodiamonds	11		rbf	kmeans	0.4277564317931548
ds2c2sc13	11		rbf	kmeans	0.6864569604562973
donut3	11		rbf	kmeans	0.7045122578822725
simplex	11		rbf	kmeans	0.7224460136122277
2d-20c-no0	11		rbf	kmeans	0.8774165341616733
disk-5000n	11		rbf	kmeans	0.27880314840862974
DS-577	11		rbf	kmeans	0.6364824552069009
zoo	11		rbf	kmeans	0.8255025499957702
square3	11		rbf	kmeans	0.6275839759338305
sonar	11		rbf	kmeans	0.13553925920184903
donut1	11		rbf	kmeans	0.6224797683647764
disk-4600n	11		rbf	kmeans	0.1317054986408243
sizes5	11		rbf	kmeans	0.822605713183747
thy	11		rbf	kmeans	0.042225870821122787
cure-t1-2000n-2D	11		rbf	kmeans	0.7326656109709038
blobs	11		rbf	kmeans	0.5519759100951849
dense-disk-5000	11		rbf	kmeans	0.28230079227265514
heart-statlog	11		rbf	kmeans	0.021563275543834123
dense-disk-3000	11		rbf	kmeans	0.2619611792935387
ds3c3sc6	11		rbf	kmeans	0.47270875152470665
donut2	11		rbf	kmeans	0.02334858603907101
dartboard1	11		rbf	kmeans	0.3779161030743758
smile1	11		rbf	kmeans	0.8490747726817468
2d-10c	11		rbf	kmeans	0.3423393404026339
impossible	11		rbf	kmeans	0.6517650236148894
aml28	11		rbf	kmeans	0.19176506141018856
