dataset	n_clusters	eigen_solver	affinity	assign_labels	nmi
R15	3		rbf	kmeans	0.3038347452422439
spherical_6_2	3		rbf	kmeans	0.7216162598446753
shapes	3		rbf	kmeans	0.8571428571428571
2dnormals	3		rbf	kmeans	0.36507789548482
dpc	3		rbf	kmeans	0.7511294026788059
twodiamonds	3		rbf	kmeans	0.5246708009600266
ds2c2sc13	3		rbf	kmeans	0.614167914634993
donut3	3		rbf	kmeans	0.5737497881612813
simplex	3		rbf	kmeans	0.8571428571428569
2d-20c-no0	3		rbf	kmeans	0.30112454097604674
disk-5000n	3		rbf	kmeans	0.00032445361733667065
DS-577	3		rbf	kmeans	0.9276611069986904
zoo	3		rbf	kmeans	0.584797149539424
square3	3		rbf	kmeans	0.7124539450219531
sonar	3		rbf	kmeans	0.027833588441487086
donut1	3		rbf	kmeans	0.39532383044705016
disk-4600n	3		rbf	kmeans	0.000938242763185452
sizes5	3		rbf	kmeans	0.773951615787856
thy	3		rbf	kmeans	0.042225870821122787
cure-t1-2000n-2D	3		rbf	kmeans	0.7396733397943063
blobs	3		rbf	kmeans	0.8615302914037273
dense-disk-5000	3		rbf	kmeans	0.0009341770375219166
heart-statlog	3		rbf	kmeans	0.008468039149283308
dense-disk-3000	3		rbf	kmeans	0.004237202074945646
ds3c3sc6	3		rbf	kmeans	0.4664187997983958
donut2	3		rbf	kmeans	0.018345028806745812
dartboard1	3		rbf	kmeans	0.0
smile1	3		rbf	kmeans	0.663364599287905
2d-10c	3		rbf	kmeans	0.0011597091391420344
impossible	3		rbf	kmeans	0.7115084601324465
aml28	3		rbf	kmeans	0.007405548213041463
zelnik2	3		rbf	kmeans	0.544493612137138
banana	3		rbf	kmeans	0.2729327557126276
compound	3		rbf	kmeans	0.806069222511028
zelnik6	3		rbf	kmeans	0.65426443536174
sizes3	3		rbf	kmeans	0.5127543875547488
spiral	3		rbf	kmeans	0.033495901337916745
sizes2	3		rbf	kmeans	0.7637517028826399
iris	3		rbf	kmeans	0.7979885217013319
hypercube	3		rbf	kmeans	0.6721159359603462
engytime	3		rbf	kmeans	0.626935614415625
circle	3		rbf	kmeans	0.002216566320503458
longsquare	3		rbf	kmeans	0.6525036700875324
zelnik1	3		rbf	kmeans	0.16326719498512274
iono	3		rbf	kmeans	0.09542091161122708
square5	3		rbf	kmeans	0.5646955480609421
curves1	3		rbf	kmeans	0.8
3-spiral	3		rbf	kmeans	1.0
DS-850	3		rbf	kmeans	0.6728716586791496
rings	3		rbf	kmeans	0.46581488817118766
cure-t2-4k	3		rbf	kmeans	0.6822549044930712
2d-4c-no4	3		rbf	kmeans	0.6720121162994933
disk-1000n	3		rbf	kmeans	0.037949819112850315
complex9	3		rbf	kmeans	0.0011744783971492018
ecoli	3		rbf	kmeans	0.6349861758427541
target	3		rbf	kmeans	0.12222541297646781
3MC	3		rbf	kmeans	1.0
xor	3		rbf	kmeans	0.11960367820887052
xclara	3		rbf	kmeans	0.002164843564730923
cure-t0-2000n-2D	3		rbf	kmeans	0.537502608784936
dartboard2	3		rbf	kmeans	0.2789232698921116
spherical_5_2	3		rbf	kmeans	0.6810376907381016
ds577	3		rbf	kmeans	0.9276611069986904
elliptical_10_2	3		rbf	kmeans	0.6181137054963773
wingnut	3		rbf	kmeans	0.6582920194710732
triangle2	3		rbf	kmeans	0.7703598383685281
smile2	3		rbf	kmeans	0.605925891343951
disk-4000n	3		rbf	kmeans	0.001717838270195861
jain	3		rbf	kmeans	0.8834824021820442
2d-4c	3		rbf	kmeans	0.8705450116870191
long1	3		rbf	kmeans	0.09725598134787825
sizes4	3		rbf	kmeans	0.7446992229844381
curves2	3		rbf	kmeans	0.538278279116556
square4	3		rbf	kmeans	0.644484142111448
chainlink	3		rbf	kmeans	0.21182199372306135
ds4c2sc8	3		rbf	kmeans	0.5204470737013621
spiralsquare	3		rbf	kmeans	0.7048226120438509
gaussians1	3		rbf	kmeans	0.6177634978045635
smile3	3		rbf	kmeans	0.46241003164156935
dpb	3		rbf	kmeans	0.7272145717196534
complex8	3		rbf	kmeans	0.001283554058217548
haberman	3		rbf	kmeans	0.014530996406328649
pmf	3		rbf	kmeans	0.014162889079018397
atom	3		rbf	kmeans	0.004873972577636894
zelnik5	3		rbf	kmeans	0.5825146492724171
long2	3		rbf	kmeans	0.03674332115209176
2d-4c-no9	3		rbf	kmeans	0.9008116701116232
cassini	3		rbf	kmeans	0.5555327816317571
hepta	3		rbf	kmeans	0.5785760167665488
triangle1	3		rbf	kmeans	0.8571428571428571
tae	3		rbf	kmeans	0.036790826698239715
balance-scale	3		rbf	kmeans	0.08981858074672724
twenty	3		rbf	kmeans	0.5301563948668955
threenorm	3		rbf	kmeans	0.4526718995961096
square2	3		rbf	kmeans	0.7659742341537998
flame	3		rbf	kmeans	0.8727789354398264
disk-3000n	3		rbf	kmeans	0.00201097282749083
d31	3		rbf	kmeans	0.37886051774389723
zelnik4	3		rbf	kmeans	0.8433531345569784
2sp2glob	3		rbf	kmeans	0.8571428571428571
glass	3		rbf	kmeans	0.2505735294748381
square1	3		rbf	kmeans	0.785775216032265
2d-3c-no123	3		rbf	kmeans	0.635843644012478
disk-4500n	3		rbf	kmeans	0.0001561665613625619
sizes1	3		rbf	kmeans	0.773605507159944
long3	3		rbf	kmeans	0.0032239195372559923
cuboids	3		rbf	kmeans	0.7987938725955551
donutcurves	3		rbf	kmeans	0.5015968875987752
st900	3		rbf	kmeans	0.5077557059563271
tetra	3		rbf	kmeans	0.8352369878190502
zelnik3	4		rbf	kmeans	0.6144256814934207
spherical_4_3	4		rbf	kmeans	1.0
fourty	4		rbf	kmeans	0.5140441491986442
lsun	4		rbf	kmeans	0.7132299744737708
diamond9	4		rbf	kmeans	0.5784139534625504
ds850	4		rbf	kmeans	0.8494328511136433
elly-2d10c13s	4		rbf	kmeans	0.43328797728087
pathbased	4		rbf	kmeans	0.7226486769573146
R15	4		rbf	kmeans	0.4201214138532978
spherical_6_2	4		rbf	kmeans	0.8519590445170669
shapes	4		rbf	kmeans	1.0
2dnormals	4		rbf	kmeans	0.27894582981334304
dpc	4		rbf	kmeans	0.7459901695216847
twodiamonds	4		rbf	kmeans	0.4944868049944912
ds2c2sc13	4		rbf	kmeans	0.6718206418491081
donut3	4		rbf	kmeans	0.6350870701620326
simplex	4		rbf	kmeans	1.0
2d-20c-no0	4		rbf	kmeans	0.54443701915254
disk-5000n	4		rbf	kmeans	0.0024975542995497053
DS-577	4		rbf	kmeans	0.8004196832966769
zoo	4		rbf	kmeans	0.7370227609011375
square3	4		rbf	kmeans	0.8242989583646132
sonar	4		rbf	kmeans	0.030023367333464567
donut1	4		rbf	kmeans	0.7162096675377355
disk-4600n	4		rbf	kmeans	0.0016311049531037346
sizes5	4		rbf	kmeans	0.9358701413827176
thy	4		rbf	kmeans	0.042225870821122787
cure-t1-2000n-2D	4		rbf	kmeans	0.856908220258896
blobs	4		rbf	kmeans	0.7276150350159758
dense-disk-5000	4		rbf	kmeans	0.10012093880062999
heart-statlog	4		rbf	kmeans	0.0140818130849061
dense-disk-3000	4		rbf	kmeans	0.20119308859206084
ds3c3sc6	4		rbf	kmeans	0.49218328713376247
donut2	4		rbf	kmeans	0.01768462892839058
dartboard1	4		rbf	kmeans	6.928730209127871e-05
smile1	4		rbf	kmeans	0.6116039951087751
2d-10c	4		rbf	kmeans	0.5166565188999824
impossible	4		rbf	kmeans	0.824878205841918
aml28	4		rbf	kmeans	0.19063500899732172
zelnik2	4		rbf	kmeans	0.5412715523587058
banana	4		rbf	kmeans	0.3078391840400581
compound	4		rbf	kmeans	0.8594445092749334
zelnik6	4		rbf	kmeans	0.7056107210600061
sizes3	4		rbf	kmeans	0.772002503900095
spiral	4		rbf	kmeans	0.021306656109785625
sizes2	4		rbf	kmeans	0.9354848337262666
iris	4		rbf	kmeans	0.6833774894922726
hypercube	4		rbf	kmeans	0.8000000000000007
engytime	4		rbf	kmeans	0.16719833305563708
circle	4		rbf	kmeans	0.01914963201160873
longsquare	4		rbf	kmeans	0.8477080130514216
zelnik1	4		rbf	kmeans	0.6209952952825788
iono	4		rbf	kmeans	0.09408725548957696
square5	4		rbf	kmeans	0.6399913695547652
curves1	4		rbf	kmeans	0.6666666666666666
3-spiral	4		rbf	kmeans	0.9095789586844116
DS-850	4		rbf	kmeans	0.8494328511136434
rings	4		rbf	kmeans	0.46208019786900734
cure-t2-4k	4		rbf	kmeans	0.8063702605654184
2d-4c-no4	4		rbf	kmeans	0.6665890621580272
disk-1000n	4		rbf	kmeans	0.04224929436508877
complex9	4		rbf	kmeans	0.0021072513323438413
ecoli	4		rbf	kmeans	0.6295861849126299
target	4		rbf	kmeans	0.17785351468926033
3MC	4		rbf	kmeans	0.8834284430208599
xor	4		rbf	kmeans	0.26589444038272697
xclara	4		rbf	kmeans	0.0021639352518203273
cure-t0-2000n-2D	4		rbf	kmeans	0.4976787503871474
dartboard2	4		rbf	kmeans	0.5273608348913557
spherical_5_2	4		rbf	kmeans	0.813030024746253
ds577	4		rbf	kmeans	0.8004196832966769
elliptical_10_2	4		rbf	kmeans	0.7146433155337969
wingnut	4		rbf	kmeans	0.4976701542921426
triangle2	4		rbf	kmeans	0.9829260922398277
smile2	4		rbf	kmeans	0.5180168007315593
disk-4000n	4		rbf	kmeans	0.0321660614897873
jain	4		rbf	kmeans	0.6335068548288336
2d-4c	4		rbf	kmeans	0.7340321807195718
long1	4		rbf	kmeans	0.5876558779459946
sizes4	4		rbf	kmeans	0.9317180088678966
curves2	4		rbf	kmeans	0.3522820786595457
square4	4		rbf	kmeans	0.7373822540940729
chainlink	4		rbf	kmeans	0.2923080516640724
ds4c2sc8	4		rbf	kmeans	0.5558220577900977
spiralsquare	4		rbf	kmeans	0.7651492366197843
gaussians1	4		rbf	kmeans	0.635838132118769
smile3	4		rbf	kmeans	0.39521129164064356
dpb	4		rbf	kmeans	0.711893524410375
complex8	4		rbf	kmeans	0.001283554058217548
haberman	4		rbf	kmeans	0.01722150470744471
pmf	4		rbf	kmeans	0.014162889079018397
atom	4		rbf	kmeans	0.009531872662379587
zelnik5	4		rbf	kmeans	0.6675334669279686
long2	4		rbf	kmeans	0.5919384679734618
2d-4c-no9	4		rbf	kmeans	0.9525372244317291
cassini	4		rbf	kmeans	0.5292975953092025
hepta	4		rbf	kmeans	0.74220817973076
triangle1	4		rbf	kmeans	0.17273495015808948
tae	4		rbf	kmeans	0.013178482860740246
balance-scale	4		rbf	kmeans	0.05265169518398839
twenty	4		rbf	kmeans	0.6237650828298603
threenorm	4		rbf	kmeans	0.3157417305186092
square2	4		rbf	kmeans	0.8971158916543501
flame	4		rbf	kmeans	0.7244923074914935
disk-3000n	4		rbf	kmeans	0.1905495352486598
d31	4		rbf	kmeans	0.496695235183093
aggregation	4		rbf	kmeans	0.8358524361747062
zelnik4	4		rbf	kmeans	1.0
2sp2glob	4		rbf	kmeans	0.7671602946502586
glass	4		rbf	kmeans	0.06606863248321442
square1	4		rbf	kmeans	0.9258996898730143
2d-3c-no123	4		rbf	kmeans	0.7291899899234559
disk-4500n	4		rbf	kmeans	0.014627335231451847
sizes1	4		rbf	kmeans	0.9229835114169069
long3	4		rbf	kmeans	0.5162736268428906
cuboids	4		rbf	kmeans	0.7853315424491352
donutcurves	4		rbf	kmeans	0.5022253983021983
st900	4		rbf	kmeans	0.5405607523244024
tetra	4		rbf	kmeans	1.0
zelnik3	5		rbf	kmeans	0.7179475380738174
spherical_4_3	5		rbf	kmeans	0.9477948159005511
fourty	5		rbf	kmeans	0.5771767363915293
lsun	5		rbf	kmeans	0.7867993284718385
diamond9	5		rbf	kmeans	0.7153820338169957
ds850	5		rbf	kmeans	0.9380888894383064
elly-2d10c13s	5		rbf	kmeans	0.39152732495772213
pathbased	5		rbf	kmeans	0.7351504272201873
R15	5		rbf	kmeans	0.5192379038385506
spherical_6_2	5		rbf	kmeans	0.9310809437291899
shapes	5		rbf	kmeans	0.9413017927214449
2dnormals	5		rbf	kmeans	0.3513156235470344
dpc	5		rbf	kmeans	0.9093699647246026
twodiamonds	5		rbf	kmeans	0.4732569584244575
ds2c2sc13	5		rbf	kmeans	0.7091954536155767
donut3	5		rbf	kmeans	0.6498136656567641
simplex	5		rbf	kmeans	0.9411790265389139
2d-20c-no0	5		rbf	kmeans	0.610619474906802
disk-5000n	5		rbf	kmeans	0.022608891137917125
DS-577	5		rbf	kmeans	0.777099295236669
zoo	5		rbf	kmeans	0.7805100277464013
square3	5		rbf	kmeans	0.7841736302553152
sonar	5		rbf	kmeans	0.05985477665983891
donut1	5		rbf	kmeans	0.6666666666666672
disk-4600n	5		rbf	kmeans	0.0023375846499140325
sizes5	5		rbf	kmeans	0.7922799843848516
thy	5		rbf	kmeans	0.042225870821122787
cure-t1-2000n-2D	5		rbf	kmeans	0.7822304258701275
blobs	5		rbf	kmeans	0.6155102339353276
dense-disk-5000	5		rbf	kmeans	0.07882138804041539
heart-statlog	5		rbf	kmeans	0.021563275543834123
dense-disk-3000	5		rbf	kmeans	0.2788236535931082
ds3c3sc6	5		rbf	kmeans	0.49759198964073376
donut2	5		rbf	kmeans	0.017265845318551163
dartboard1	5		rbf	kmeans	0.06733036193431739
smile1	5		rbf	kmeans	0.6542206560822174
2d-10c	5		rbf	kmeans	0.6240820029865495
impossible	5		rbf	kmeans	0.8023945966376292
aml28	5		rbf	kmeans	0.18935638006073854
zelnik2	5		rbf	kmeans	0.5693891018366563
banana	5		rbf	kmeans	0.41430001327649185
compound	5		rbf	kmeans	0.7921140178209396
zelnik6	5		rbf	kmeans	0.6999093590413645
sizes3	5		rbf	kmeans	0.949369783231129
spiral	5		rbf	kmeans	0.0095722646562762
sizes2	5		rbf	kmeans	0.9282012517112828
iris	5		rbf	kmeans	0.7159433435733484
hypercube	5		rbf	kmeans	0.8571428571428577
engytime	5		rbf	kmeans	0.6424201737777362
circle	5		rbf	kmeans	0.21304131660311124
longsquare	5		rbf	kmeans	0.9318167941852896
zelnik1	5		rbf	kmeans	0.5933804297025536
iono	5		rbf	kmeans	0.29031542397489746
square5	5		rbf	kmeans	0.5737262959237104
curves1	5		rbf	kmeans	0.6106097728683355
3-spiral	5		rbf	kmeans	0.8325369036537793
DS-850	5		rbf	kmeans	0.9380888894383062
rings	5		rbf	kmeans	0.42105432196921705
cure-t2-4k	5		rbf	kmeans	0.7670008212049115
2d-4c-no4	5		rbf	kmeans	0.9814062488151244
disk-1000n	5		rbf	kmeans	0.1477990168853726
complex9	5		rbf	kmeans	0.0025214803006416444
ecoli	5		rbf	kmeans	0.6116805598529755
target	5		rbf	kmeans	0.2302498363747486
3MC	5		rbf	kmeans	0.8218877560417895
xor	5		rbf	kmeans	0.3019802198209484
xclara	5		rbf	kmeans	0.002851197621759929
cure-t0-2000n-2D	5		rbf	kmeans	0.5945551689475393
dartboard2	5		rbf	kmeans	0.5000028854375111
spherical_5_2	5		rbf	kmeans	0.8595681311529494
ds577	5		rbf	kmeans	0.777099295236669
elliptical_10_2	5		rbf	kmeans	0.7905930914155287
wingnut	5		rbf	kmeans	0.40984182661035484
triangle2	5		rbf	kmeans	0.9695930243472897
smile2	5		rbf	kmeans	0.5528399447227692
disk-4000n	5		rbf	kmeans	0.060092920814409145
jain	5		rbf	kmeans	0.7748019965386712
2d-4c	5		rbf	kmeans	0.7326323598653612
long1	5		rbf	kmeans	0.6158272774191892
sizes4	5		rbf	kmeans	0.9015955422104514
curves2	5		rbf	kmeans	0.4941570066083199
square4	5		rbf	kmeans	0.6312721776798034
chainlink	5		rbf	kmeans	0.37615804870659075
ds4c2sc8	5		rbf	kmeans	0.6666498731937227
spiralsquare	5		rbf	kmeans	0.8181507733403217
gaussians1	5		rbf	kmeans	0.6133769588699195
smile3	5		rbf	kmeans	0.43029088392247583
dpb	5		rbf	kmeans	0.8651873002709886
complex8	5		rbf	kmeans	0.001283554058217548
haberman	5		rbf	kmeans	0.01722150470744471
pmf	5		rbf	kmeans	0.014162889079018397
atom	5		rbf	kmeans	0.01398909870153861
zelnik5	5		rbf	kmeans	0.6120841527237783
long2	5		rbf	kmeans	0.5741242328535557
2d-4c-no9	5		rbf	kmeans	0.9052076780878306
cassini	5		rbf	kmeans	0.7395683748440546
hepta	5		rbf	kmeans	0.8604425597955531
triangle1	5		rbf	kmeans	0.8354211096232201
tae	5		rbf	kmeans	0.047297043507178255
balance-scale	5		rbf	kmeans	0.21150575533093247
twenty	5		rbf	kmeans	0.6869211886078567
threenorm	5		rbf	kmeans	0.3085442133644835
square2	5		rbf	kmeans	0.8386012999592399
flame	5		rbf	kmeans	0.6157875514134494
disk-3000n	5		rbf	kmeans	0.42966895418129597
d31	5		rbf	kmeans	0.5960787014035839
aggregation	5		rbf	kmeans	0.8894055132776748
zelnik4	5		rbf	kmeans	0.9440847644194464
2sp2glob	5		rbf	kmeans	0.7092424385534978
glass	5		rbf	kmeans	0.16661709361390958
square1	5		rbf	kmeans	0.7390184401057072
2d-3c-no123	5		rbf	kmeans	0.628697154194953
disk-4500n	5		rbf	kmeans	0.07103682912539053
sizes1	5		rbf	kmeans	0.8830290634984638
long3	5		rbf	kmeans	0.49204284779477875
cuboids	5		rbf	kmeans	0.7638682321059638
donutcurves	5		rbf	kmeans	0.539025065044197
st900	5		rbf	kmeans	0.675712682622177
tetra	5		rbf	kmeans	0.7684636058090637
zelnik3	6		rbf	kmeans	0.6358169344877744
spherical_4_3	6		rbf	kmeans	0.9150451862487897
fourty	6		rbf	kmeans	0.6009743185438683
lsun	6		rbf	kmeans	0.7213473302687936
diamond9	6		rbf	kmeans	0.8308200482661643
ds850	6		rbf	kmeans	0.9045775081207115
elly-2d10c13s	6		rbf	kmeans	0.4780400092225216
pathbased	6		rbf	kmeans	0.7155312192016806
R15	6		rbf	kmeans	0.6044732144789674
spherical_6_2	6		rbf	kmeans	1.0
shapes	6		rbf	kmeans	0.8900122579171246
2dnormals	6		rbf	kmeans	0.3357252646085019
dpc	6		rbf	kmeans	0.8603172045806617
twodiamonds	6		rbf	kmeans	0.5571532115787771
ds2c2sc13	6		rbf	kmeans	0.6878223756035241
donut3	6		rbf	kmeans	0.6963947552769477
simplex	6		rbf	kmeans	0.8616022884262508
2d-20c-no0	6		rbf	kmeans	0.6665926917438783
disk-5000n	6		rbf	kmeans	0.38952672193689764
DS-577	6		rbf	kmeans	0.7393397980976074
zoo	6		rbf	kmeans	0.7414868668456797
square3	6		rbf	kmeans	0.7456848358698753
sonar	6		rbf	kmeans	0.04307092662182836
donut1	6		rbf	kmeans	0.6327269987942751
disk-4600n	6		rbf	kmeans	0.009812746502973702
sizes5	6		rbf	kmeans	0.7671973904560473
thy	6		rbf	kmeans	0.042225870821122787
cure-t1-2000n-2D	6		rbf	kmeans	0.7787180740481613
blobs	6		rbf	kmeans	0.6084514949357447
dense-disk-5000	6		rbf	kmeans	0.28219072497279135
heart-statlog	6		rbf	kmeans	0.01642122672234839
dense-disk-3000	6		rbf	kmeans	0.19991157743609556
ds3c3sc6	6		rbf	kmeans	0.5064094595610211
donut2	6		rbf	kmeans	0.020510669432628803
dartboard1	6		rbf	kmeans	0.48067771201575354
smile1	6		rbf	kmeans	0.8154586645704454
2d-10c	6		rbf	kmeans	0.849954561290708
impossible	6		rbf	kmeans	0.7440921892324102
aml28	6		rbf	kmeans	0.5262019463424915
zelnik2	6		rbf	kmeans	0.5905075222369354
banana	6		rbf	kmeans	0.42611856041617746
compound	6		rbf	kmeans	0.7673707979982818
zelnik6	6		rbf	kmeans	0.6491962405006276
sizes3	6		rbf	kmeans	0.9043434018736236
spiral	6		rbf	kmeans	0.02195952349807397
sizes2	6		rbf	kmeans	0.8973108231746224
iris	6		rbf	kmeans	0.6555295408263748
hypercube	6		rbf	kmeans	0.9090909090909094
engytime	6		rbf	kmeans	0.2731097856541745
circle	6		rbf	kmeans	0.27580843272085515
longsquare	6		rbf	kmeans	0.9962786397056882
zelnik1	6		rbf	kmeans	0.57368096262437
iono	6		rbf	kmeans	0.2717047276355191
square5	6		rbf	kmeans	0.5331743953066379
curves1	6		rbf	kmeans	0.5643048229052975
3-spiral	6		rbf	kmeans	0.7699840332494062
DS-850	6		rbf	kmeans	0.9045775081207114
rings	6		rbf	kmeans	0.44572256668941673
cure-t2-4k	6		rbf	kmeans	0.7623542035080053
2d-4c-no4	6		rbf	kmeans	0.6442993325389612
disk-1000n	6		rbf	kmeans	0.3738031844585804
complex9	6		rbf	kmeans	0.00345072849342032
ecoli	6		rbf	kmeans	0.6260372744133552
target	6		rbf	kmeans	0.37847762067270957
3MC	6		rbf	kmeans	0.7657329952869069
xor	6		rbf	kmeans	0.4057503768029655
xclara	6		rbf	kmeans	0.003535167159697998
cure-t0-2000n-2D	6		rbf	kmeans	0.5476413947125532
dartboard2	6		rbf	kmeans	0.4806711756813953
spherical_5_2	6		rbf	kmeans	0.8741423108730932
ds577	6		rbf	kmeans	0.7393397980976077
elliptical_10_2	6		rbf	kmeans	0.8483618444649639
wingnut	6		rbf	kmeans	0.25834804236358117
triangle2	6		rbf	kmeans	0.7223040861820244
smile2	6		rbf	kmeans	0.7456908182163807
disk-4000n	6		rbf	kmeans	0.4304846158462702
