dataset	min_samples	cluster_method	p	n_jobs	nmi
ds3c3sc6	2	xi	2		0.43122339636621043
donut2	2	xi	2		0.32026817694803805
dartboard1	2	xi	2		1.0
smile1	2	xi	2		0.5165955876252089
2d-10c	2	xi	2		0.47508432288297375
impossible	2	xi	2		0.5430957494097093
aml28	2	xi	2		0.3696574103042438
zelnik2	2	xi	2		0.4286047487238136
banana	2	xi	2		0.267982097380332
compound	2	xi	2		0.3954274014770172
zelnik6	2	xi	2		0.45400300960016515
sizes3	2	xi	2		0.346617509577424
spiral	2	xi	2		1.0
sizes2	2	xi	2		0.38002229032605406
iris	2	xi	2		0.4120531738630336
hypercube	2	xi	2		0.47285393552271604
engytime	2	xi	2		0.25726095808451294
circle	2	xi	2		0.2960571915019348
longsquare	2	xi	2		0.492867445374095
zelnik1	2	xi	2		0.4269250865393258
iono	2	xi	2		0.1568267947753469
square5	2	xi	2		0.37671687259222625
curves1	2	xi	2		1.0
3-spiral	2	xi	2		0.3977556653474039
DS-850	2	xi	2		0.4750189889441197
rings	2	xi	2		0.35514371810449863
cure-t2-4k	2	xi	2		0.41921451986181235
2d-4c-no4	2	xi	2		0.3896514514876441
disk-1000n	2	xi	2		0.2832034729220734
complex9	2	xi	2		0.4665086047311921
ecoli	2	xi	2		0.35925544102031387
target	2	xi	2		0.3413879978094314
3MC	2	xi	2		0.431200343744825
xor	2	xi	2		0.3943376060863014
xclara	2	xi	2		0.34974163323591634
cure-t0-2000n-2D	2	xi	2		0.2899806088146467
dartboard2	2	xi	2		1.0
spherical_5_2	2	xi	2		0.5314591950591421
ds577	2	xi	2		0.40129109951297887
elliptical_10_2	2	xi	2		0.5884376915461493
wingnut	2	xi	2		0.3015452010577172
triangle2	2	xi	2		0.4073431795720522
smile2	2	xi	2		0.5107793804958355
disk-4000n	2	xi	2		0.23420967740511467
jain	2	xi	2		0.31071266859431357
2d-4c	2	xi	2		0.3835647799133846
long1	2	xi	2		0.2954864466381374
sizes4	2	xi	2		0.33005574006219823
curves2	2	xi	2		1.0
square4	2	xi	2		0.3955284395986461
chainlink	2	xi	2		0.2710191889781362
ds4c2sc8	2	xi	2		0.5119099675463022
spiralsquare	2	xi	2		0.7315487379006359
gaussians1	2	xi	2		0.3554959514796093
smile3	2	xi	2		0.5864925963599256
dpb	2	xi	2		0.39314651199766243
complex8	2	xi	2		0.4678913441132567
haberman	2	xi	2		0.11799252508967638
pmf	2	xi	2		0.39061742792637566
atom	2	xi	2		0.3031518386599143
zelnik5	2	xi	2		0.4445666282924528
long2	2	xi	2		0.29396248157830934
2d-4c-no9	2	xi	2		0.41968114560800646
cassini	2	xi	2		0.38155308816275607
hepta	2	xi	2		0.5891771122825536
