elly1_d2_c30	2	k-means++	300	10	auto	0.267560187408084
cure-t0-500n-2D-1S	2	k-means++	300	10	auto	0.42843624511243183
aggregation	2	k-means++	300	10	auto	0.49403489725899147
elly1_d3_c15	2	k-means++	300	10	auto	0.34015211660262595
disk-4600n	2	k-means++	300	10	auto	9.82236919309091e-05
smile1	2	k-means++	300	10	auto	0.4757810178849073
zelnik3	2	k-means++	300	10	auto	0.4369415609862255
elly1_d2_c15	2	k-means++	300	10	auto	0.29473544757361403
2d-40c-no2	2	k-means++	300	10	auto	0.3094340402508499
cure-t2-500n-3D-1S	2	k-means++	300	10	auto	0.5344922681955546
2d-12c-no2	2	k-means++	300	10	auto	0.3243624111476876
cure-t0-500n-5D-1S	2	k-means++	300	10	auto	0.42843624511243183
elly0_d2_c17	2	k-means++	300	10	auto	0.29871207761088236
2d-20c-no0	2	k-means++	300	10	auto	0.3603393285984557
cure-t1-500n-2D-1S	2	k-means++	300	10	auto	0.49727799665751304
smile3	2	k-means++	300	10	auto	0.3730697831247362
elly1_d3_c20	2	k-means++	300	10	auto	0.2979237807884191
zelnik1	2	k-means++	300	10	auto	0.11535797642254944
elly2_d4_c35	2	k-means++	300	10	auto	0.2671201661616527
4d-35c-no2	2	k-means++	300	10	auto	0.28474010063779254
cure-t2-500n-3D-7S	2	k-means++	300	10	auto	0.5392784988892023
3d-40c-no2	2	k-means++	300	10	auto	0.284377632546744
4d-15c-no0	2	k-means++	300	10	auto	0.3480110898561638
zelnik6	2	k-means++	300	10	auto	0.5979727711023263
st900	2	k-means++	300	10	auto	0.3450230889736055
elly2_d2_c20	2	k-means++	300	10	auto	0.3189845550036529
cure-t0-500n-5D-2S	2	k-means++	300	10	auto	0.45250266545436135
elly1_d2_c7	2	k-means++	300	10	auto	0.37355226401286956
4d-7c-no1	2	k-means++	300	10	auto	0.39824146006564826
4d-35c-no1	2	k-means++	300	10	auto	0.26330860859843647
curves2	2	k-means++	300	10	auto	1.154159110484424e-05
4d-2c-no1	2	k-means++	300	10	auto	1.0
