sizes4,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
sizes5,"[silhouette, point_biserial, Banfeld_Raferty]"
smile1,"[calinski_harabasz, i_index, Banfeld_Raferty]"
smile2,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
smile3,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
sonar,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
spherical_4_3,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
spherical_5_2,"[calinski_harabasz, Davies_Bouldin, Banfeld_Raferty]"
spherical_6_2,"[i_index, modified_hubert_t, Banfeld_Raferty]"
spiral,"[SDBW, i_index, Banfeld_Raferty]"
spiralsquare,"[SDBW, i_index, Banfeld_Raferty]"
square1,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
square2,"[calinski_harabasz, Ratkowsky_Lance, Banfeld_Raferty]"
square3,"[calinski_harabasz, modified_hubert_t, Banfeld_Raferty]"
square4,"[SDBW, i_index, Banfeld_Raferty]"
square5,"[i_index, modified_hubert_t, Banfeld_Raferty]"
st900,"[i_index, modified_hubert_t, Banfeld_Raferty]"
tae,#N/A
target,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
tetra,"[i_index, modified_hubert_t, Banfeld_Raferty]"
threenorm,"[mc_clain_rao, Banfeld_Raferty, Davies_Bouldin]"
thy,"[modified_hubert_t, c_index, Banfeld_Raferty]"
triangle1,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
triangle2,"[i_index, Dunns_index, Banfeld_Raferty]"
twenty,"[calinski_harabasz, mc_clain_rao, Banfeld_Raferty]"
twodiamonds,"[point_biserial, mc_clain_rao, Banfeld_Raferty]"
vehicle,"[calinski_harabasz, modified_hubert_t, Banfeld_Raferty]"
wingnut,#N/A
xclara,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
xor,"[modified_hubert_t, Dunns_index, Banfeld_Raferty]"
zelnik1,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
zelnik2,"[c_index, PBM_index, Banfeld_Raferty]"
zelnik3,"[calinski_harabasz, Banfeld_Raferty, Davies_Bouldin]"
zelnik4,"[SDBW, Ratkowsky_Lance, Banfeld_Raferty]"
zelnik5,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
zelnik6,"[SDBW, i_index, Banfeld_Raferty]"
zoo,"[point_biserial, Xie_Beni, Banfeld_Raferty]"
