R15	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	0.664661654
R15	['SDBW', 'iindex', 'banfeld_raferty']	0.332330827
R15	['iindex', 'modified_hubert_t', 'banfeld_raferty']	0.332330827
R15	['i_index', 'scott_symons', 'banfeld_raferty']	0.233082707
square4	['i_index', 'scott_symons', 'banfeld_raferty']	0.634586466
square4	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	0.607518797
square4	['iindex', 'modified_hubert_t', 'banfeld_raferty']	0.607518797
square4	['SDBW', 'iindex', 'banfeld_raferty']	0.366917293
square4	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	0.115789474
longsquare	['iindex', 'modified_hubert_t', 'banfeld_raferty']	0.203007519
longsquare	['SDBW', 'iindex', 'banfeld_raferty']	0.144360902
longsquare	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	0.118796992
longsquare	['i_index', 'scott_symons', 'banfeld_raferty']	-0.132330827
longsquare	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	-0.201503759
zelnik4	['iindex', 'modified_hubert_t', 'banfeld_raferty']	0.369924812
zelnik4	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	0.17443609
zelnik4	['i_index', 'scott_symons', 'banfeld_raferty']	0.046616541
zelnik4	['SDBW', 'iindex', 'banfeld_raferty']	-0.078195489
zelnik4	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	-0.297744361
zelnik5	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	0.168421053
zelnik5	['SDBW', 'iindex', 'banfeld_raferty']	0.166917293
zelnik5	['iindex', 'modified_hubert_t', 'banfeld_raferty']	0.166917293
zelnik5	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	-0.126315789
zelnik5	['i_index', 'scott_symons', 'banfeld_raferty']	-0.193984962
thy	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	0.264661654
thy	['i_index', 'scott_symons', 'banfeld_raferty']	0.22556391
thy	['SDBW', 'iindex', 'banfeld_raferty']	-0.001503759
thy	['iindex', 'modified_hubert_t', 'banfeld_raferty']	-0.476691729
thy	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	-0.482706767
square5	['i_index', 'scott_symons', 'banfeld_raferty']	0.384962406
square5	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	0.308270677
square5	['SDBW', 'iindex', 'banfeld_raferty']	0.296240602
square5	['iindex', 'modified_hubert_t', 'banfeld_raferty']	0.282706767
square5	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	-0.502255639
3-spiral	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	1
3-spiral	['i_index', 'scott_symons', 'banfeld_raferty']	0.520300752
3-spiral	['SDBW', 'iindex', 'banfeld_raferty']	0.323308271
3-spiral	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	0.055639098
3-spiral	['iindex', 'modified_hubert_t', 'banfeld_raferty']	-0.206015038
2d-3c-no123	['i_index', 'scott_symons', 'banfeld_raferty']	0.45112782
2d-3c-no123	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	0.326315789
2d-3c-no123	['SDBW', 'iindex', 'banfeld_raferty']	0.234586466
2d-3c-no123	['iindex', 'modified_hubert_t', 'banfeld_raferty']	0.114285714
2d-3c-no123	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	-0.115789474
spherical_6_2	['SDBW', 'modified_hubert_t', 'banfeld_raferty']	0.305263158
spherical_6_2	['mcclain_rao', 'dunns_index', 'banfeld_raferty']	0.29924812
spherical_6_2	['i_index', 'scott_symons', 'banfeld_raferty']	0.231578947
spherical_6_2	['iindex', 'modified_hubert_t', 'banfeld_raferty']	-0.07518797
spherical_6_2	['SDBW', 'iindex', 'banfeld_raferty']	-0.093233083
