dataset	silhouette_score	calinski_harabasz_score	davies_bouldin_score	SSE	nSSE	ARI	MIS	v_measure	n_clusters	init	max_iter	n_init	algorithm
2d-10c	0.410774642	49503.30233	0.812895069	10708.35073	1.790694102	0.000849911	0.000611972	0.020268122	39	k-means++	300	10	auto
2d-10c	0.426789623	49493.76947	0.814890074	10433.61635	1.744751897	0.001460301	0.000987245	0.021370181	40	k-means++	300	10	auto
2d-10c	0.411439524	49488.33443	0.793550079	9681.087825	1.618911008	0.001165374	0.001156577	0.023037351	43	k-means++	300	10	auto
2d-10c	0.650953997	49462.22879	0.567450996	37216.38437	6.223475648	0.001558115	0.001761714	0.008585569	12	k-means++	300	10	auto
2d-10c	0.411728059	49397.67931	0.780035057	11334.15635	1.895343871	0.001564691	0.002037028	0.021059944	37	k-means++	300	10	auto
2d-10c	0.381446745	49302.15809	0.826105354	9956.145196	1.664907223	0.001168346	0.002643532	0.024313629	42	k-means++	300	10	auto
2d-10c	0.39312227	48957.48223	0.822184495	10282.63416	1.71950404	0.001239614	0.00182412	0.022735012	41	k-means++	300	10	auto
2d-10c	0.724978069	48331.61006	0.525505438	41883.38439	7.003910434	0.002192468	0.002024385	0.008368851	11	k-means++	300	10	auto
2d-10c	0.771903347	48166.2933	0.411215231	46683.67015	7.806633804	0.001466238	0.002196274	0.008010073	10	k-means++	300	10	auto
2d-10c	0.832843875	48009.63593	0.228217199	52654.1097	8.805035066	0.000940396	0.002575324	0.007816374	9	k-means++	300	10	auto
2d-10c	0.809171307	34176.98507	0.364334047	84167.12214	14.07476959	0.000922109	0.002913191	0.007572127	8	k-means++	300	10	auto
2d-10c	0.765915452	21324.45567	0.300013845	155761.963	26.04715101	-0.00018291	0.001768501	0.005961741	7	k-means++	300	10	auto
2d-10c	0.726926769	13404.28003	0.37230221	291417.0678	48.73195114	0.000250288	0.000428261	0.00398615	6	k-means++	300	10	auto
2d-10c	0.729324715	9919.758907	0.328464217	478331.3507	79.98852019	-0.000522429	0.000880739	0.004003902	5	k-means++	300	10	auto
2d-10c	0.694877032	6531.485199	0.48916765	904073.0999	151.1827926	-0.000149995	0.000705576	0.003207296	4	k-means++	300	10	auto
2d-10c	0.629504903	5266.6206	0.601436861	1510418.26	252.5783043	0.000500449	0.000579129	0.002452824	3	k-means++	300	10	auto
2d-10c	0.496476318	2252.146414	1.026147541	3898375.021	651.9021774	-0.000241775	-2.28E-05	0.000941688	2	k-means++	300	10	auto
a1	0.596824392	13829.97204	0.526644213	12146257522	2024376.254	0.997195024	0.997419071	0.997479792	20	k-means++	300	10	auto
a1	0.582754	13514.43071	0.572791387	11808207287	1968034.548	0.976459352	0.980304431	0.986998259	21	k-means++	300	10	auto
a1	0.559394383	13144.13918	0.622947973	11561427312	1926904.552	0.960358272	0.966942028	0.979475179	22	k-means++	300	10	auto
a1	0.540594514	12844.12968	0.66506016	11292905252	1882150.875	0.939832474	0.950807764	0.969249814	23	k-means++	300	10	auto
a1	0.545753929	12553.98885	0.735922278	11050245271	1841707.545	0.93140017	0.944477411	0.968028524	24	k-means++	300	10	auto
a1	0.584745771	12343.79978	0.532907608	14340261177	2390043.53	0.938260356	0.966741004	0.977608674	19	k-means++	300	10	auto
a1	0.532900535	12315.21658	0.764763183	10794009083	1799001.514	0.914005746	0.931652376	0.960490577	25	k-means++	300	10	auto
a1	0.497126978	12018.98965	0.802007262	10616027797	1769337.966	0.885083705	0.910113468	0.944247376	26	k-means++	300	10	auto
a1	0.489586803	11861.15344	0.839789297	10343351729	1723891.955	0.879221607	0.907145648	0.945703944	27	k-means++	300	10	auto
a1	0.478590882	11599.64541	0.871670647	10182236166	1697039.361	0.857893826	0.894089439	0.937644403	28	k-means++	300	10	auto
a1	0.471547991	11476.46245	0.841403271	9923020529	1653836.755	0.844439017	0.882118932	0.928944473	29	k-means++	300	10	auto
a1	0.442597264	11336.52921	0.936858018	9697754396	1616292.399	0.822004565	0.873016618	0.925786222	30	k-means++	300	10	auto
a1	0.455279941	11173.03885	0.892380313	9510128293	1585021.382	0.82082633	0.86822704	0.923065642	31	k-means++	300	10	auto
a1	0.427480725	11122.58167	0.920570496	9244920534	1540820.089	0.806582874	0.861136117	0.91986196	32	k-means++	300	10	auto
a1	0.565984137	11054.21017	0.536930667	16919682468	2819947.078	0.88634383	0.936689356	0.958377562	18	k-means++	300	10	auto
a1	0.396010185	11033.17855	0.988455113	9026792886	1504465.481	0.770502172	0.843442531	0.907738979	33	k-means++	300	10	auto
a1	0.40674441	10828.88604	0.998810636	8653263304	1442210.551	0.74470354	0.830830953	0.902124404	35	k-means++	300	10	auto
a1	0.340878093	10814.40592	1.058455539	7959325180	1326554.197	0.691668678	0.80995625	0.891769989	38	k-means++	300	10	auto
